defid	word	variant	label_index	definition
122589	Darn	 damn	5	The dumbass way to say DAMN cause whoever says it is too stupid to use the real word! see
122719	clitorus	clittoris	4	Mispelling of the world clittoris
124357	teh	the	5	intentional mispelling of teh word the
124829	UHAB	ubah	5	purposeful mispelling of the word ubah, a derivative of the word uber
126545	retarted	retarded	6	The mongo spelling of the word retarded.
126748	teh	the	26	"An accidental or deliberate misspelling of the word ""the - A word placed before nouns to limit or individualize their meaning."" Most of the time, it's just some idiot who can't type."
128360	sxe	sexy	4	"alternative spelling of ""sexy"". however, the 'x' should be a capital letter. popular in zine culture."
129265	skuffer	scuffer	3	Alternative spelling of Scuffer
129461	b0i	boy	8	"A retarded spelling of the original word ""boy"". Engineered to look like ""punk"" slang because of the precarious use of the suffix ""oi""."
129916	kewl	cool	9	"(N.) a dumba** way of spelling ""Cool"" that pot-smoking, skateboarders use. You have to scrunch up your nose to say it, or else, you're saying it wrong."
133171	jiuce	juice	6	The wrong spelling of the word Juice
134280	xool	cool	3	Alternate spelling for cool. Superioer compared to its other spellings.
136021	Durb	derb	8	"The true spelling of the term word""derb""\word. The act of Fellatio. To give head or oral plesure. The word can also be used to point out someone who is known for giving oral plesure."
138643	deth	death	5	Megadeth's dyslexic spelling of Death
138708	Wassabi	wasabi	4	"Alternate spelling of ""Wasabi"" - Generaly meaning ""What's up?""."
140518	Fack	faak	7	"Fack: alt. spelling is ""faak"". Substitute for ""fuck"". Often referred to as a ""ghetto"" term. Is widely accepted."
141011	cac	cack	3	Another spelling of cack or cak, meaning shit or something inferior..
144047	HANDLOBRAES	handle	3	bad spelling of handle, handling, etc.
144556	seriousalmente	spanish	7	"The 1337 spelling of seriously in ""Spanish"""
144748	early	 good-bye	5	"gangsta way to say ""good-bye"""
145964	phage	fag	18	"Either the 1337 way of saying ""Fag"" or the second grade spelling of the wod ""Fag"". You decide."
146068	fegge	 faggot	5	"eddies way of saying ""faggot"""
148727	h4ck3r	hacker	5	"Totally 31337 spelling of ""hacker"""
149597	Dam	damn	11	1.device used to block water 2.mothers against dyslexia 3.common misspelling of damn
149854	fatg	fag	5	"Misspelling of the word ""fag."""
149884	partat	partay	7	"an incorrect spelling of the word ""partay"""
150833	pnis	penis	3	Intentional misspelling of penis , usually to avoid the @##$$ censoring symbols on some chat programs.
152114	Fcuk	fuck	3	"mispelling of ""fuck"""
156538	perenium	perineum	10	"This is a just a misspelling of the word ""perineum"". Dumb!"
156697	hampster	hamster	4	A common misspelling of hamster.
157279	cocksicle	cocksickle	7	"A Greek moron's mispelling for ""cocksickle."""
157810	gret	great	4	"a misspelling of ""great"""
158026	ghey	gay	5	"A different spelling of ""gay"" that some idiots thought up and pretend that it's less derogatory to homosexuals. When in fact, they are wrong. Changing the spelling of a slur doesn't make it any less offensive. Just like spelling the n-word as ""kniggar"" doesn't make it less of a racial slur."
160152	ppl	 people	7	"An annoying imbecile's way of saying PEOPLE. Mostly used by geeks and other morons who use ""l337"" speech."
162095	gnast	nast	13	"n. something disgusting. from ""nasty"". alternate spelling of ""nast""."
166951	massageandablowjob	 massage	14	"n. A Naval term that completes and corrects the spelling of the word ""massage"", which is not a stand-alone word West of the International Dateline."
167301	Splurge	superglue	2	misspelling of superglue
168484	aitch	h	7	"the correct spelling for the letter ""H"""
170151	Lysdexia	dyslexia	5	A humorous way of saying Dyslexia, with some stereotypical misspellings.
171150	moted	moded	4	"Common misspelling of ""moded"". Used to make fun of someone after an embarassing situation."
171690	bitca	 bitch	4	"A way of saying bitch when my son is around; taken from the TV series Buffy: The Vampire Slayer (episode ""When She Was Bad"")"
172059	sexi	sexy	3	improper spelling of sexy
172241	wgat	what	31	"1.wgat is the lazy mans way of saying what. 2. A spelling error made on occasion by people who cant find keys on the keybaord. Usually Stands for ""What"""
172790	smeckel	schmeckle	32	"A common misspelling of the word schmeckle. Often used by idiots with small penises who can't spell. Even after I told them a hundred times it's spelled ""schmeckle."" See wordschmeckle/word"
174877	sexxy	sexy	4	A purposeful misspelling of sexy originally created by the band They Might be Giants but brought into common use by geeks and nerds alike.
176409	Colour	color	8	The british spelling of color... americans say color
178715	whoamo	womo	4	Alt. spelling: Womo One who is unbelievably homosexual.
183354	Dgry	degree	8	"n. 1. A misspelling of the word ""degree."" 2. A strange character in the Simutronics game Gemstone III who has an obsession with winged lion-things."
186194	yff	yiff	78	"See yiff. Although yff is often seen as a typo for ""yiff"", the occurence of the ""yff"" spelling is so common that it is feasable to think of both of these spellings as correct. If using this word primarily in it's otomatopoeia form, it seems that ""yff"" is more commonly used, but when using this word as a subject or part of a sentance, ""yiff"" seems to be more proper."
186777	ur	your	6	"Moronic, half-assed spelling or ""your"" or ""you're"" used by close-minded, slow chatroom/AOLer individuals who can't type fast enough, and will use the excuse: 'i hav 2 use slang coz i am tokin 2 lots ov pplz unlyk u LOLZ', even though I could talk to several people without using a single abbreviation."
187313	pxnk	punk	7	"A messed up way of spelling ""punk"". It's most often used by: 1. Small children 2. ""posers"" 3. Avril Lavigne followers 4. People making fun of Avril Lavigne Followers"
187440	edjot	wanker	4	"Alternative spelling of ""wanker""."
187940	Crapper	toilet	3	another word for toilet
190361	seks	sex	7	"1. Spelling error on the word ""sex"". 2. Used to say something is cool."
190497	toofah	tufa	6	"an alternate spelling may be ""tufa""."
190649	Znort	snort	4	"A mispelling of ""Snort"" used in association of cocaine use."
191058	woot	w00t	6	A common misspelling of the term w00t.
194316	masterbation	masturbation	4	a common misspelling of mastUrbation
194767	grits	 orgasm	3	Another word for orgasm.
197789	hibobadoble	 poop	3	another word for poop
199156	zeraw	warez	3	Alternate spelling of Warez. Pirated software. Juarez.
202324	cawkatoo	cockatoo	5	"An alternative spelling for ""cockatoo"" (a bird). See cawk"
203832	Gravey	gravy	5	"A different spelling of ""gravy"". Something that is very cool or smooth or tight, yo, player. Also can be a thick sauce poored over mashed potatoes and devoured for dinner. Yum!"
204988	weltanschlong	weltangschlong	3	Alternative spelling of weltangschlong (see that entry), meaning world size erection.
205040	shotz0red	shot	6	Shotzored is the leet spelling of Shot.
206878	Pron	porn	54	1337 way of spelling PORN. Considered to be stupid to do so, but it has it's good uses. You don't want your company internet gateway keepers to arrest you for clicking an article on a tech site that happens to be about profits/losses or abuses when it comes to porn sites and the like.
207277	fumduck	dumbfuck	4	Another way of spelling dumbfuck to avoid filters when posting in forums online.
207457	kunt	cunt	5	"mispelling of the word ""cunt"""
207841	hepl	 help	18	A misspelling of the word 'help', often typed when the typer is in extreme need of help. First seen in MMORPG's, like Everquest.
209102	nubby	 newbie	5	A variation of the word newbie. Used by me because i own you in counter-strike every day.
210200	Pron	porn	27	"1. A misspelling of the word ""porn"" (short for pornography). Often seen in search engine histories. 2. A popular euphamism for porn, often seen used by wannabe hackers and script kiddies who have to use ""1337speak"" in order to seem cool. Became popular after the search-engine typo became more common."
210335	Emortal	immortal	5	Just another way of spelling immortal. Its funny too.
210963	Trogdolyte	troglodyte	3	Common mis-spelling of troglodyte.
212171	donit	doughnut	5	"Illiterate attempt at spelling ""doughnut"" or ""donut"". Usually used by wrestling obsessed wordAmerican/words."
212362	Carp	crap	3	"Misspelling of ""crap"". Used to show mild disgust."
215610	nudle	noodle	4	The incorrect spelling of Noodle
215930	hed	head	8	"1. Lingo, slang writing for spelling ""head"". As in giving oral sex to a guy. (Typically used on the internet by some lame guy who is trying to hide the fact that he cybers, so his mom won't find out.)"
216067	spooj	splooge	6	"A misspelling of the word ""splooge""."
218014	hed	head	6	"A mis-spelling of the word ""head""."
219832	bolagna	 cum	3	Another word for cum or sperm. Mostly used to confuse the person into thinking its the food, but pronounced differently
221410	doppy	dopey	9	"Incorrect spelling of ""dopey."" See ""dopey."""
222609	scrunch	 scrumping	3	Another word for scrumping, hunching, boinking, or sexing.
222726	syke	wordpsyche	5	"a common misspelling of ""wordpsyche"""
227066	l33ch	leech	3	alternate spelling of leech
228069	yey	yay	5	An unusual way of spelling yay. ^-^
228217	relaly	really	6	"Gross mispelling of the word ""really,"" possibly by one suffering from Dislexia."
228290	Omef	omfg	4	Retarded way of spelling OMFG.
229850	Narb	 newb	5	A slurred way of saying newb
229979	Gé	gay	3	Alternative spelling for Gay
234253	ecstacy	ecstasy	2	Misspelling of Ecstasy
236468	Gooba	 snot	3	another word for snot or mucus
236687	n0rp	pr0n	8	pornography; a variation on the spelling of pr0n .
239145	frat	fart	9	"1. A common misspelling of the word, ""fart."" 2. A 99.9% male simultaneous masturbation club (There's bound to be a she-male somewhere in the mix)."
241454	gruad	guard	4	the delestic spelling for guard.
241455	delestic	deslexic	4	the deslexic spelling for deslexic
241719	knoe	 know	7	"1. Another spelling of the word ""know"". 2. To understand, to be informed."
242699	pown	pwn	6	"A misspelling of the word ""PWN"" which is a misspelling of ""own"". To beat someone's ass in any way."
244653	Octcagtcon	otaconword	5	The obvious misspelling of word Otaconword. Started by Mr. Hankey on the wordWrestling-Edgeword forums.
248671	daogh	doagh	6	"Incorrect Spelling of the word ""Doagh"""
249545	Nifkin	bifkin	6	"A misspelling of the word ""bifkin"", which is the skin between one's ass and dick"
251336	Craptacualr	craptacular	2	Mis-spelling of Craptacular.
253057	banananana	banana	14	long-winded way of saying banana, used especially by those who can *start* spelling banana, but cant seem to stop.
253396	Jit	shit	5	"Abbreviation of the word ""shit."" Can also be followed by the suffix ""head"" (i.e. Jit-Head) to describe someone who constantly acts like a shit-head."
254277	wonce	once	5	"An alternate spelling for ""once""."
254510	Bizzatch	bitch	3	Another word for bitch.
259656	doppleganger	doppelganger	7	"A misspelling of the German, ""doppelganger"", roughly translates as ""evil twin"". Can be used literally, as in example below."
260303	Kikyou	kikyo	4	Alt. spelling of Kikyo.
261760	SI	yes	4	"1. Spanish for ""yes."" 2. Misspelling of ""is."""
262808	Feesh	fish	4	A silly misspelling of Fish.
263112	Loose	lose	51	"Increasingly common misspelling of the verb ""lose."" The pronunciation listed here (L-ooooo-se) does not apply to this definition. The correct pronunciation of ""loose"" rhymes with ""goose"" and ""noose."" The word many people think they are spelling, ""lose,"" rhymes with ""booze"" and ""news."""
269028	XOBX	xbox	9	Obviously, the correct spelling of this word is Xbox, but this is how |33t kiddies spell it. Clearly the misspelling makes them superior above all other life forms.
269127	reagen	regan	3	"Mispelling of ""regan"" see ""ostrich"""
278345	riiight	 right	6	"A sarcastic way of saying ""right"""
278686	suxx	sucks	4	"Demoscene spelling of ""Sucks""."
281254	ekstrem	extreme	5	The n00b way of spelling Extreme.
287367	womyn	woman	5	"the feminist/lesbian spelling of ""woman"". also has political implications. not all feminists/lesbians use or even like this term, but it's been claimed as a subtle empowerment thing by both groups in general."
291514	scratch	 fighting	4	Itz another word for fighting...
291533	phuqed	 fuck	7	"Yet another variation of the word ""fuck"". Also a pretty darn cool web site."
292220	armadeggon	armageddon	4	Much cooler spelling of Armageddon. Watch 2018!
293125	poochoo	puuchu	4	"Alt spelling is ""Puuchu"". Alien creatures that have found their way into the anime Excel Saga. When alive they resemble sort of mutant teddy bears, however a thwack in the nose will not only kill them, but they mutate to a form where their face somewhat resembles Al Jolsten's. Their special abilities are to overpower people with their deception by sheer cuteness. Their name is derived from the only sound they make when they're not being killed. (They tend to say things like ""Ah, that hurt!"" as they die.)"
293591	yr	your	6	"The oh-so-indie way of spelling ""your"" and ""you're."" Hardcore scenesters take note."
294232	xtreme	extreme	5	"stupid way of spelling ""extreme"""
295413	titses	tits	9	This is a funny miss spelling of the word tits. This can offten me seen in porn IMs. Also a type of mamel.
297054	spret	terps	4	"Accidental spelling of ""terps"" caused by poor flag choice. Humor further enhanced by slowness of ""t"". Not a candy. That is Spree."
297205	pet	 petrified	5	an abbreviation for the word petrified
297558	funtastic	 something	5	A sarcastic way of saying something was fun (or not fun).
298904	Teh	the	6	"Article. Common misspelling of ""the"" Commonly used by members of internet forums."
299819	cousin	 pronounced	11	"The oddly lacking-a-""t"" official spelling of the word pronounced ""cuzint"" by members of communities in which nearly *everyone* is ""cuzints"" with nearly everyone else."
301872	Pharsi	farsi	5	"The correct spelling of ""Farsi"""
303126	teh	the	8	"An erroneous spelling term of the word ""the"", usually utilized on online forums accidentally, or in order to sound special."
303240	bizness	business	46	"n., deliberate respelling of ""business"" with meanings generally derived from that word. May refer to any purposeful activity, or more specifically to a particular action (commonly sexual) or a matter of personal concern. As with the word ""business"" from which it derives, may be used in the informal sense of a tongue-lashing or rebuke."
305333	boob	bob	21	"1. A very dumb person 2. Slang for a woman's breast 3. Boys Order Our Balls 4. Mispelling of ""Bob"""
308740	farfignugen	fahrvergnügen	4	"Misspelling of german ""fahrvergnügen,"" meaning ""driving-pleasure."""
312939	w33d	weed	5	teh 1337est way of spelling weed
316493	stull	stuff	6	Has origins in a misspelling of stuff in an obscure interweb theme park, evolving to emcompass a much fuller and more robust breadth of application. Opposite of 'blean'
316733	Sucubus	succubus	8	"A rather frequent misspelling of the word ""Succubus"""
318199	altavisa	altavista	8	A misspelling of Altavista that actually redirects to Altavista because so many people mistype it. You Idiots.
325281	Yonkles	 yes	12	"a word that is used for a colourful way to say ""yes"" or a word for any part of the body which grandparents would refer to as ""naughty"""
325904	gymp	gimp	4	"Alternate spelling for ""gimp"""
338936	phagh	fag	4	"Alternate spelling of ""fag"""
340237	pwnijj	pwnage	5	"Hardcore leet spelling of ""pwnage,"" it is the existance of one's utter dominance over a n00bified opponent."
340271	snoogums	snoogens	4	a common mispelling of snoogens
340696	pfag	fag	5	"alternate spelling of of ""fag."""
345728	sufferring	suffering	3	incorrect spelling of suffering
347162	fite	fight	13	incorrect spelling of fight, to indicate either comedy or no will to fight.
348340	nwegrounds	newgrounds	3	incorrect spelling of newgrounds
350063	Kerek	kerrek	4	An ethnic misspelling of Kerrek.
350694	Foamity	foamidy	13	"Adj. Very bubbly or carbonated. Fizzy. Alternate spellings include ""foamidy"" or, rarely, ""foamedy""."
352673	discobobulated	discombobulated	5	A misspelling of the word discombobulated.
353389	Fooot	foot	12	Funny misspelling of 'foot'. Laugh at people when they type foot like it.
355755	Illeriterate	illeterite	6	"The illeterite way of spelling ""illeterite"". Sounds funnier pronounced."
358491	Hame	ham	9	stuff or shit. originated as a misspelling of ham, and it just kinda evolved from there
358558	hrdcre	 hardcore	22	the fashion core (fasion core) way of saying hardcore. ths is used by people who want to sound more hardcore.
358699	arc	ark	7	"Belle's ghetto way of spelling ""ark""."
359781	Jes	 yes	5	An excited way of saying Yes, in a very spanish immigrant accent.
361150	renig	renege	4	a common misspelling of renege.
361448	wimmin	women	4	"Alternative spelling of ""women"". Preferred by rabid psycho-feminists because it eliminates the ""men"" aspect. The singular of this word is ""womon"". Also see ""wofem""."
367948	shight	shite	6	"A misspelling of the word ""shite"" which is the (profane) slang term for fecal matter as spoken by those in the Brittish Isles."
369439	Zuecreu	loser	3	A big misspelling loser!
370648	pance	pants	3	A mispelling of pants, see ponce
370831	DAGRON	dragon	6	"Strong Mad's misspelling of ""Dragon"" in one of the classic sb_emails."
371433	mnooo	nooooo	53	"A misspelling of the exclamation, ""Nooooo"". This word is often seen in the chat channel of an online game, where the speaker mistakenly hits the M and N keys simultaneously (which are next to each other in the common QWERTY layout) in the spelling of ""Nooooo"". It is sometimes used as a taunt at LAN parties"
375365	Aryan	iranian	7	"The ancient spelling of the word ""Iranian"". literary means noble in old Persian and Sanskrit. noble also literary means a free wo/man in Persian (kind of a more spiritual freedom than material). historical note: The term Aryan was stolen by German philosophers in 18 century since the linguistics discovered some similarities between Indo-Iranian languages and European languages. They used to have a common language so they must have had common ancestors. so If Iranians call themselves Aryan so we should do that too!"
375888	Innactive	inactive	5	the black way of spelling inactive
377804	jumbo	 cool	5	"Replacement for the word ""cool""."
378679	Fack	 fuck	8	"1. A deliberate mispronunciation of the word ""fuck"" with the hopes of the user being assumed as uniquely gifted and proactive in the language arts."
381629	krab	crab	4	Mispelling of the word crab.
382493	partfractico	partfracdeco	4	noun- phonetic spelling of partfracdeco, partial fraction decomposition
382509	tha	the	11	Freakin stupid way of spelling 'the' since it sounds exactly the same.
382686	Jeezus	jesus	4	A corrupted spelling of Jesus, especially when used as a swear word.
383264	ph33r	fear	57	"just another way to spell ""fear""; derived from a combination of internet spelling shortcuts and the popular webcomic ""MegaTokyo"" which promotes certain internet spelling shortcuts. not necessarily a bad thing, not at all offensive unless in the wrong kind of context. again, its a synonym spelling for ""fear"""
384437	Loose	lose	28	1. Opposite of tight. Baggy, roomy fitting. 2. Derogatory discription of a woman who has had many sexual partners. 2. Also common mis-spelling of lose.
387069	ywned	owned	5	"An intentional misspelling of ""owned"". It's more l33t than ""pwned"". YWNAGE!"
390303	Alucard	arucard	30	Character from the anime Hellsing (released by Pioneer in the US). A vampire servant to Lady Integra, head of the Hellsing organization. Alternate spelling: Arucard
390385	REP	rap	7	"REP iz as same as tha word RAP, sounds like the same, Gst different ""spelling"""
391613	GNOES	no	3	Deliberate misspelling for no. usually in all capitals.
392008	shews	hairpile	24	"1. A virtual location filled with lunacy and hilarity. 2. Any excuse for a wig party. 3. A common misspelling of ""hairpile""."
392316	noobenstein	 noob	4	"Another word for ""noob"" or ""n00b"" referring to one who is inexperianced or who shouldn't be taken seriously. Most commonly refers to online gamers."
392688	pw3n	 own	22	"A silly abbreviation of the equally silly word ""pwn,"" which is derived from a misspelling of the word ""own."" It is used to indicate superiority."
393771	Snipper	sniper	3	"Misspelling of ""sniper."" Screenname of a certain internet user."
393867	ickeyray	 rickey	14	A latin pig, no wait, a pig latin form of the word Rickey. An old poet/hermit living in the middle of nowhere. The online identity of said poet/hermit.
394100	whasup	whatsup	5	Whasup= A spelling error for whatsup, whats up, wassup, or just for people who want to be <s>cool</s>
395683	Plom	plum	5	"1. a misspelling of ""plum"" 2. a fat-guy 3. to plom = insulting someone"
397937	Plaz	plz	3	Intentional mispelling of plz, or please. Rather than sounding polite, it tends to be placed at the end of derogatory phrases. I was first to use it, therefor you must pay me royalties whenever using it in your daily leet speak.
398314	Shvartzah	schvatze	9	"The proper spelling for this word is: ""schvatze"". Definition: What a Jew calls a nigger."
402518	thas	that	6	"a miss-spelling of the word ""that"""
404278	Rozzle	rozzel	66	There are many definitions for the word rozzle. The most versatile of words in the English Slang Dictionary. The two most common terms that are used frequently are : 1 : A cuddle or short embrace with a loved one 2: Joking around with good friends. 3: A lustful desire for someone There are multiple spellings of the word rozzle : Rozzel, Rozil, Rozzyl, Rahsihl (in places like Bahgdad). . . etc.
406008	Phish	fish	5	Popular mis-spelling of the word Fish. In which stoners and followers of the major jam band Phish purpusely to make the word spell Phish.
406691	Asshole	arsehole	8	"Incorrect or ""American"" spelling of ""Arsehole"" A person that derives pleasure from actions that hurt other people either physically or mentally."
406720	awsome	awesome	2	Mis-spelling of awesome.
408051	Blashgoo	blashgoo	6	THIS is the correct spelling of Blashgoo. no 'v' at the end. i mean, gooey substance. goo. not that hard really. o.O
408332	ballsack	ballsac	3	Actual Spelling: Ballsac
408490	mangk	man	3	"slang for ""man."" Used in familiar tenses to refer to one's homie Alternative spelling of mang. The ""k"" is added to deepen the ""g"" when the word is read. It adds an urban ""flair"" that is desirable in some rhetorical situations."
409200	xmas	christmas	3	"An abbreviation for Christmas, from the Greek spelling of Christ, the first letter of which was chi (""X"")."
409629	cum	come	6	"Common misspelling the slang word ""come"" (noun: semen, verb: orgasm). Origins of misspelling unknown, most often seen on pornographic websites or in the insults of forum trollers. The actual word ""cum"" is a latin word meaning ""with"", supposed to be prounounced ""koom""."
409664	fistin	fisting	6	this is the proper spelling for fisting, most of the definitions are correct. the more obscene one's are probably mopre correct.
410111	perve	perv	3	Alternate spelling of perv and more common in the UK. Often used by people into BDSM, etc. to describe themselves when in 'friendly' company.
410635	watchu	whatchu	20	"Contraction for ""what you."" Alternative spelling: whatchu. See also: watchu wearin'?, whatchu wearin'?"
411915	edn	end	4	"Intentional misspelling of ""end"". Most commonly found in Flash movies produced by the Clockcrew at Newgrounds. Usually accompanied with ""teh."""
413267	wylyam	william	3	"Alternative spelling of William, referring to Melbourne's own Will ""wylyam"" Morris, the worlds greatest unpublished poet. For more information on Wyl, visit his website at www.geocities.com/wyl_is/index.html"
416028	ghonorrea	gonorrhea	3	A misspelling of gonorrhea.
418547	fukk	fuck	4	"Alternate spelling of ""fuck"". Mainly used to beat profanity filters."
419190	diarhea	diarrhea	3	"Misspelling of ""diarrhea,"" a favorite subject of elementary school songs learned on the playground."
420069	Athiest	atheist	4	The incorrect spelling of atheist
