defid,word,definition
10868030,O'dea,"O'dea is an all boys catholic high school in Seattle, Washington that prides itself in it's athletics program and mediocre academics. O'dea is the top high school in seattle for teaching young men how to disrespect women and be overall dicks. Many highlights of O'dea include it's school building (built to look and act like a prison), it's dress code (collared shirts and khakis) and required school tie (literally the gryffindor tie from harry potter), and It's sexist/homophobic students (though not all O'dea boys have these two qualities, O'dea is a breeding ground for these qualities to become prominent). O'dea high school is also the brother school of Holy Names Academy, an all girls catholic high school on capital hill (though many Holy Names girls feel this fact is an embarrassment and try to forget that O'dea exists at all)."
918254,odea,"An all guy Highschool, commonly referred to as O'gay for that reason. Has the worst teachers and a bunch of gomer piles that go there."
749706,Odea,Term for a small mammal also know as a Tit Mouse. Maybe slang term for female breast
8405640,Odea,"A god like creature, that no person can even begin to comprehend the awesomeness. An Odea is kind and caring and super duper awesome and obviously humble."
1537579,O'learious,"The state of being incoherently drunk; near comatose. Symptoms: general lethargy, slurred or inaudible speech, bodily trauma, unexplained fits of anger, the sudden urge to perform sexual intercourse upon unreasonably large women, getting into extremely life threatening situations (e.g. Falling onto the tracks of the Long Island Railroad), and sudden propensity for singing Irish tunes (Gaelic in the most extreme cases)."
1542044,O'learious,"(adj./adv.) The state of drunkenness that makes people say ""I didn't think it was possible to get that wasted."" Only a veteran drinker can achieve a state of O'leariousity (O'leariousness is also an acceptable noun form.)"
5036145,o'practical,Of practical
5034056,o'practical,Of practical
858823,o'reilly,"Masturbation during phone sex, using a vibrator in your anus."
3852661,O'Regan,"a supreme form of awesomeness, total ownage. also, can be used as its devised from irish culture as a fighting word"""
1204699,O'Reilly,An O'Reilly is the act of jacking off with something up your ass while on the phone. Right wing media personality Bill O'Reilly was accused of sexual harassment. Google O'reilly falafel for more information.
6211286,O'Reilly,"A word to describe someone who is very stupid. Must only be used after someone says/does something that is unbelievably, astonishingly, incredibly stupid.Comes from FOX news political commentator Bill O'Reilly who may be the most stupid person on earth. Is sure to win a Darwin Award when he dies."
1194772,O'Reilly,"Creatures having some semblance or connection to, or may actually be The Beast"
2939346,O'Reilly,First known mutant born with the ability to stop objects in a 50 mile radius from spinning.
3309327,O'Reilly,"Used like the term ""oh really"" but pronounced as the last part of Bill O'Reilly's name."
68208,O'reilly,"The surname of FoxNews talk show host Bill O'Reilly. Like his fanz give him props with a O'reilly shout out & his haterz come back w/a ""Oh Really?"""
2248616,O'Really,"Term used to describe Fox News' pundit, Bill O'Reilly."
3842507,O'Reagan,Irish surname of a warrior generally up for a laugh but can turn into a right hard bastard if crossed
1741364,o'quinn,"one that is Irish, usually with a small upper lip and/or huge adam's apple."
11348505,o'queefe,o'queefe is a stupid cunt who cant do anything right.
5814443,o'dayscious,Used to describe something 10x hotter than fierce - its O'Dayscious!
1935683,o'plumbkin,"receiving a plumbkin, however, right before climax you pull out, perform a modified donkey punch to the girl, blow it in her hair, write your number on a piece of paper, and stick it to her hair."
7631462,o'panties,"When you get just shit bagged at a party and pilfer panties from the bedroom of the hot chick who lives there. You then pass out, and are caught wearing them."
996740,O'neillist,Someone who lives by the sarcastic comments made by the character Jack O'neill on the show Stargate SG-1
4442886,O'Neiller,"An O'Neiller is when someone is on the down and out in some shape or form, and decides to grow a beard and lets their Appearence Dishevel. It often occurs in men between the ages of 27-40, It is not to be Mistaken with mid life crisis. O'Neillers are bred from hatred and often the lack of Sexual Intercourse.Folklore tells us that the Famous O'Neill was Roland Turlogh O'Neill, a feared Celtic warrior from Carlow town who was also said to have been a fantastic painter/decorator and a very Agressive Bearded lover."
187715,o'neill,Air Force Colonel Jack O'Neill. Goes through the Stargate. Shoots lots of stuff and never runs out of sarcastic remarks.
3720610,O'Neal,"Lords of all that is hilarity. If one tries to be funny, one WILL be funny. There is no way to dodge an O'Neal. You will flock to an O'Neal. An O'Neal is good. An O'Neal is great. An O'Neal loves boobies and an after-dinner shag. Respect an O'Neal. Beware an O'Neal. Most of all, bow down to an O'Neal."
9593695,o'naturale,Naked
2405398,o'murchu,A large pimple that grows from the side of your head. Some people may say that it looks like a Rice Krispie fused to your skull.
386498,o'neill,"aka ""the o'neill"" the asgard's most technologically advanced ship, designed to fight agaisnt replicators"
921089,O'Neill,Bus Ride home A drunk Irishman
6864502,O'Neill,"To do none of the work, but take all the credit."
4495957,o'neill,"n. a stealth bogey that can appear on the top lip of an unwitting person, often leading to embarrassing situationsalsov. to be o'neilled, the act of having an o'neill (see above) on one's top lip."
185563,o'neill,1. the biggest whiney bitch in the history of major league baseball. 2. the right fielder for the yankees in the late 1990s
5159830,O'neal,Jank ass monkey
1020016,o'neals,Female or male basketball centers that are FUGLY
11194624,O'mesha,A Beautiful And Strong Woman Can Be The Nicest Yet Meanest Person You Know. Very Sensitive She Is Not Very Open And Doesn't Face Emotion Very Well. O'mesha Is An Independent Person And Doesn't Look For Anyone To Do Things For Her.
6189506,O'Meany,"A person that destroys faces. When he is angry, he will listen to Numa Numa for many hours in the day. He is also known to drop bass in your face."
3083459,O'McFinniganly,"This term is not a slight against the Irish. Rather, it is a term used to describe descendants of Irish immigrants that are outrageously proud to be Irish even though they are about as Irish as I am Martian. They have Irish flag stickers on their car, an Irish flag hanging above their bed and an Irish flag tattooed on their arm above their tribal arm band. This person always talks about their Irish grandparents (that were born in Maryland), constantly talks about the trip they took to Ireland when they were 11 years old and explains that they will move to Ireland ""some day."" They wear Dropkick Murphy's and Flogging Molly tee shirts, but don't own any of the cd's. They are always gloating about Irish heritage, but this person lacks Irish credentials. Examples include, but are not limited to: a) neither they or anyone in their family has red hair b) they have a last name like Richards, Bukowski or Weisburg c) their skin doesn't explode when exposed to direct sunlight d) they can't hold their booze e) the latest relative of theirs that actually came over on a boat from Ireland died 97 years ago at age 53"
2990465,O'Marra,A town just north of Fort Worth Texas US. The town was famous for it's horses and a young European poet Laura. O'Marra become a slang in Texas in the mid 1970s during the Vietnam war. It was used by college students to signify their intellectual pursuits. It also have the meaning of having a free spirit like our admirable friend - horse. Nowadays the term is widely used in the underground scene.
2566571,O'marathon,"A long run comprising of 18 miles or more done purely for the sake of enjoying the scenery and environment of where the participant is running. Popular amongst high school and college runners in the Western Pennsylvania distance running community, it was created by the great American Distance Runner Timothy O'Mara."
9339038,O'Malleyed,A random act of violence on an unexpecting person which results in bodily harm
3703216,o'malley,"1. Something cool, roughly equal or greater to 10 mega-fonzies 2. a legend"
50215,O'malled,"To cheat on one's spouse/lover, take their money, and destroy there self-esteem. Then break up with them since they are broke and whiney. <for extra points cornhole her> <or have her admitted to Psyche unit>"
4704965,O'Malley,"An Irishman also known as O'Callihan, O'Crowley, O'Toulihan, O'Dowd, O'Houlihan, O'Hanrahan and most notably O'Hara. There are also many other variations. He owns a pub called O'Finnegans and packs massive chomps. A legend in all respects, one that will live on in Irish folklore for many generations to come. He believes in reincarnation and will be reborn as a banana slug in the next life. His brainchild is the NCBA college baseball club team, UCSC slugs in collaboration with the King. The number 7 will be forever retired for all Irish baseball players."
3035727,O'Malley,Only the COOLEST last name ever!
698621,O'Malley,"The name of the alter-ego aggressive AI that inhabited the bodies of Tex, Caboose, and now Doc."
3203786,O'Malley,A person who gets obliterated and confrontational after 3-4 drinks. This person is an annoyance to everybody who goes out with him.
3104740,o'malley,a asshole... a asshole tech teacher... that sucks dick for a living...
5118161,OMalley,Used to describe: a) a idiot who feels they are significantly smarter than they are b) a macfag c) all the aboveCan be used as a generic insult as well.
3927554,O'Mahony,"generally Irish, normally vein, pale tries to use sunbeds, bumder, great in bed (not all the time - rarely actually), small penis, big feet, generally looks like a lepruchan, huge vagina, loves to do the irish jig, likes to make 'friends', often falls easily in love with girls beggining with K or C"
5654530,O'Mahoney,O'Mahoney is an extemely AWESOME last name only givinto people who are AWESOME!! people with the last name O'Mahoney are all awesome and they are very intelegint. They are so cool and they get really pissed off when you leave out the appostraphy.. god damn it annoying
11351321,o'loofah,1. The sponge that one uses in an attempt to wash away the stench created by spousal abuse. 2. The attitude of the privileged yet twisted who get pleasure from killing while professing to be pro-life.
11697585,o'londo,"A big BLACK man known for his incessive waddle, clumsiness, and small peni. loves the fat bitches and is a total nut. They love when you them by one of their many nicknames such as: Mookie Bear, Sea Biscuit, londacious, and lonflondo the mondo gazongo. Also has a marvelous badonkadonk. donk."
5526695,O'Leven,A new way of saying 2011.
5153243,O'Lester,To use Listerine as a lubricant will giving someone a rim job so as to avoid the bad taste of the person's rim.
1821670,O'Leary-ous,"adjective used to describe an extremely devoted fan of the young actor, Matt O'Leary"
1096462,O'Leary,Person of Irish decent. Politically active. Drinks and Bullshits. Rarely fights unless fighting the English. Amazing lovers.
2820336,o'leary-ous,meaning funny o'leary-ous as in hillarious
523283,O-Unized,"A place that has been taken over,conquered or branded by the o unit"
3244025,O-twat,1)An 'outie' vagina. 2) The city of Ottawa.
4013752,O'Leary,last name of somebody of irish originity
202620,o'leary,person of irish descent
356719,oleary,"horny, the type that bangs there own mom, cant stop jerkin"
258986,oleary,a freak hata who loves wankstas
780282,o-town,"The city of Orlando. Orlando, FL"
4712062,O-Tool'd,"v. Being owned, modded, or pwned but it does not have immediate consequences instead delayed consequences."
6755932,O-ticket,"The ticket you thought was to Ontario, Canada that actually took you to Ontario, California. (Or any other such mix-up)."
1865685,O-Tard,"O-Tard,O-Tarded, Much like an E-Tard, E-Tarded only symptoms are the result of multiple orgasms, and not E. Refer to E-Tard for the definition of E-Tard or E."
6626022,O-Strength,The feeling of invincibility and burst of physical power during an orgasm.
520321,O-Unized,Something that has been taken over by O-unit.
1485326,O-Town,"Shortened term for Orlando, Florida."
3872728,O-Town,"Regardless of what all these other bullshit entries say, otown is most widely known as the nickname of Orlando, Florida. Not fucking ottowa or ohio or whatever."
1713268,Otown,The central city of Florida:Orlando.
1333681,O Town,"O Town Is Oakland, CA"
2739497,O Town,a name for Orlando Florida
5238001,O-Town,Nickname for many cities beginning with the letter 'O'. Anyone living near such a city believes their city is the only true O-Town.
3343441,O-stika,"The Obama symbol, a blue doughnut dipped in peppermint that adorns campaign signs , buttons, et cetera."
5014853,o-tard,"When a person's behavior or words transcend the definition of retarded, the person is defined as having reached the level of an o-tard or orgasmically retarded."
2617809,otard,A Otard defines a aged retard. Otards often come from France. They are not dangerous at all. The younger form of a Otard is called Retard. Otard is a older person that usually slows up especially by preventing or hindering advance or accomplishment. High otardness can only evolve within many years of retard practise.
4274000,O-spasm,"Noun (sometimes a verb, depends on how cool you are) Synonym for orgasm, only FAR MORE INTENSE!!!!"
4890209,o-space,"a state of mind and body, usually found in a female, following a long period of extended orgasms, during which even the slightest touch anywhere will result in another orgasm."
3350407,o-stika,"The Obama symbol, a blue doughnut dipped in peppermint that adorns campaign signs , buttons, et cetera."
4992667,O-slurry,"Fictional (hopefully) cocktail made up of a collection of spilled drinks from the dance floors of 'The Osprey' club in Manasquan, NJ. This legendary drink is concocted by no other than the white-haired bouncer/bar back that is seen mopping up floors in the early part of an Osprey night. His sentinel like stealth and proclivity to cleanup is unparalleled along the Jersey Shore. Whether true or not, this mythical tale is believed to be due, in part, by the extremely odd and uneasy beer selection at 'The Osprey', which includes, Corona in a tall boy can, fosters, molson ice, amongst other weird and varied beers of all sizes too large to drink before it warms to a piss-like temperature. The slang term, 'O-slurry' can be used to describe the formed slurry of spilt beverages on any dance floor."
4822958,O-skeezy,O-skeezy is a term used to define someone who spits hard rhymes with ease.
4038221,O-Shen,"O-Shen means ""Still like water"" origin is Asian it is the name of the greatest ascended master since Jesus although O-Shen is much more handsome than Jesus. O-Shen was named after his great great great grandfather who lived on the 1400's"
642671,o-scrilla,Out of money
11371359,O-sally,A creamsicle aka ice cream
4726547,O-Side,"Oceanside, CA- a City in North County San Diego. Oceanside locals call it ""O-side""."
12652601,oshen,This bitch. She kinda crazy . She kinda beautiful. She kinda warms your heart . A little insecure. Makes some bad choices . But she cares a whole bunch. Her heart is made of gold.She one bad bitch. But definitely needs to grow up sometimes . Takes awhile to learn. But keeps at it. She hella fierce.
4379318,O-sack-pophobia,"A dangerous mental condition that quarterbacks in the NFL suffer from, especially those such as Tony Romo when they know they are about to get owned by dangerous players like Brian Orakpo of the Washington Redskins."
110659,o-ringer,"a species native to Orlando, FL; often found in Oakley's; and Civic's that sound like lawn mowers, and usually gay."
4584837,O-side,"Oceanside, NY- A suburb east of NYC in Nassau County. Instead of saying Oceanside, the local druggie culture folks just call it O-side."
9158815,O-Rama,"It's a nonsensical/meaningless word/term, which probably implies something that's newest or improved, or even amazing.OR, It was a way to modernize a product or a business name"
361642,o-pong,The term used for when a girl rubs her titties up and down a guys cock thus causing an orgasm. Also known as tittie-fucking
6029522,O-pilepsy,"A rare, temporary condition where a person experiences prolonged convulsions immediately following a very intense orgasm.Most often seen in persons with very skilled sex partners.One of a new class of sexually transmitted conditions called STBs (Sexually Transmitted Benefits)"
4016646,O-pacalypse,"One single O-vent that will engulf the earth with the next four years it will be horrible and America will end up one huge pile of Eurotrash, or greenpeace supporters, god forbid. It will be a certain president and his z-O-mbies fault."
4044458,o-negos,"Orgasm Negotiations. When two people - whether partnered or just ""friends with benefits"" - have to negotiate receiving and giving an orgasm.This can pertain to when, where, what has to be done in order to receive, and other circumstances that lead to you or your partner orgasming."
4589240,O-Neg,~ Anyone with O-Negative blood
3073564,O-Nazz,O-Nazz: O-nazz is a word not very many know it is a word meaning of a strong sexy and smart guy with a giant fatty cock that can not fit in ur mouth even if u ripped it open.O-nazz can also eat a chick out in so many ways
1643759,O-munity,"Pronounced like ""immunity"", but with an ""Oh."" Military slang referring to the lighter penalties that officers usually recieve when compared to enlisted men."
2477366,O-mouthed,"Surprised or dumbfounded, as reflected in the rounded of your lips when you're bewildered by an awkward person or scene. (The expression is very popularly used among teens in Hong Kong)"
7124365,o-mighty,A store of based off of drugs and awesomeness.
676311,O-MIC,Shortcut for 'Orgasmic'; hot fine sexual
12462718,O-mehr,The phrase you say when you’re waiting for a response to your friendzone text
4176996,O-Mail,"Unsolicited and unwelcome e-mail received from and authored by or on behalf of a governmental body, entity or branch that is directly intended to promote a political goal, policy or agenda of such body, entity or branch."
5535489,O-M-SQUEE,"Exclamation for when ""OMG"" is just not enough to express the surprise of the the moment."
5861592,O-M-J,"Oh My Jesus! A more dramatic way to say OMG. It should be used sarcastically and dramatically to emphasize whatever situation O-M-J was said to. O-M-J and Oh My Jesus are interchangeable but if you say the complete phrase, don't forget to emphasize Jeeeeeesus!"
3197362,O-log,"A modification of the word vlog. The two are synonyms. Using the same logic that creates blog (the subtraction of the ""we""). This word uses the same model and subtracts ""vide"". This superior word is more auditorily distinct, making it easier to differentiate from ""blog"", versus ""vlog"". Regardless, both refer to the use of visual media (ie. web cams) to create personal opinion pieces."
