	grendads, grenades	1311546  A typo of grenades. Most commonly used by people who can't spell and are total n00bs
	amazingesterest, itself	12893830  Word meaning that someone is more amazing than the word itself. They're amazing-est-er-est, meaning that they're amazing-est, amazing-er, and amazing-est (again) all at once. It's a word to describe the best person in the world. A person who gets called amazingesterest should know their value in this world and know that they're cared for, loved, and accepted by many.
	spysheriff, google	6920489  SpySheriff is malware that disguises itself as anti-virus software and targets Windows 95, Windows 98, Windows 2000, Windows ME, Windows NT and Windows XP. It bombards an infected computer with false warnings and urges the victim to buy now. It locks Internet Explorer to prevent so called \"severe malware\" from infecting the computer and also locks System Restore to prevent the compromised computer from using normal procedures to protect itself. It is also considered to be extemely difficult to remove because it will reinstall itself. Adware Sheriff, Pest Trap, SpywareNo, Spylocked, SpywareQuake, SpyTrooper, Spydawn, AntiVirGear, Brave Sentry, System Security, SpywareStrike, SpyShredder, Alpha Cleaner, SpyBot SpyMarshal, and SpyAxe are clones of SpySheriff. No matter what it may do to your PC DO NOT UNDER ANY CIRCUMSTANCES, GIVE ANY INFORMATION TO THESE FUCKING SCAMMERS!!!!!!!!! It infects a computer by going on websites such as spysheriff.com and goggle.com; as of 2009, both of these websites were said to be defunct (This is not the case). Goggle.com (a typo of google.com) and spysheriff2009.webs.com are running. WARNING: DO NOT GO TO THESE WEBSITES UNLESS YOU WANT TO DESTROY YOUR COMPUTER AND GET SCAMMED!!! BROWSE AT YOUR OWN RISK!!!
	aft, all	4496433  n. a shortened version of \"afternoon\"mostly used while IM-ing and too lazy to type out all nine letters of \"afternoon\"
	shorthand, than	2293858  The form of typing in which illiterates type. Examples of \"shorthand\" include: u, ur, r, y, wat, dat, skool... Illiterates type this way & claim it is \"shorthand,\" because they believe it's easier & takes less time to type out than full, proper sentences.
	pagw, page	6451750  A common mistake people make when trying to type 'page'.
	ne'ermind, nevermind	1775754  A \"Ye Olde English\" way of pronouncing \"nevermind\". Rhymes with fair mind.
	hrob, rob	8053263  French way of pronouncing Rob.
	presbie, a	5456047  1. Short word for a Presbyterian person. 2. of or pertaining to Presbyterian people, places or things.
	chinaboo, chinese	6586136  The Chinese version of a weeaboo, or a wapanese. These people are very annoying and they obsess over anyone who lives in China, or has Chinese blood in them. If you speak any Chinese language like Cantonese or Mandarin Chinese, watch out--they're going to get you for your language ability. They try to type out Chinese Pinyin, but fail hard. ( Most of them don't know what Pinyin is. ) They are NOT people who have a major in a Chinese Dialect and can ACTUALLY write pinyin properly. Chinaboos usually like to write their name in Chinese Characters when they do schoolwork, and fail very hard at the strokes and the order of the strokes. They also buy things with Chinese Characters that they don't know the meaning to. Chinaboos take Chinese, Hong Kong, and Taiwanese drama to an obsessive level by trying to pick out phrases from it. These people are NOT the same people who simply enjoy to watch these dramas. Most of them are also k-pop lovers. Chinaboos are usually not Chinese themselves, but they claim they have some Chinese in them. If you speak Chinese and one of them adds you on Facebook, be careful. You're in for a big roll of a 'lao shi'.
	puppy, pussy	2629344  A puppy is a person, usually a man, who is weak and frail and would probably get his ass kicked on any street block in the world. What started as an attempt to bust someones balls, my boy PH, was texting in T9 word to his boy and was trying to type \"pussy\". Of course \"puppy\" came up instead and the word was born.
	wivetes, whatever	4080637  Someone trying to type \"whatever\" on word who is high.
	dublidad, fuckhead	"2203013  fuckhead but to the nth degree. Generally someone who is a fuckhead on purpose and loves every second of it. Originates from early nokia mobile phones with predictive text, particularly the 5110 - \"dublidad\" was the first suggestion by the internal dictionary when trying to type \"fuckhead\".
2204880  fuckhead but to the nth degree. Generally someone who is a fuckhead on purpose and loves every second of it. Originates from early nokia mobile phones with predictive text, particularly the 5110 - \"dublidad\" was the first suggestion by the internal dictionary when trying to type \"fuckhead\"."
	leeb, 1338	25752  It's a way of pronouncing 1338. \"1338\" is a notch above \"word1337/word\".
	pappers, papparazzi	3100928  Short word for \"papparazzi\", created by Regis Philbin on the episode of TMZ. 5/20/08
	sweer, sweet	2390838  Sweet, awesome, cool. founded when trying to type \"sweet\". instead of typing the \"t\" \"r\" was hit. now used in many cities. -Usually used with the adj, \"totally\" before it.
	dullify, dull	4762112  An attempted conjugation of the verb Dull. Known to be used by television producers, in particular those who write scripts for commercials advertising spanish football, in an attempt to keep their audience on it's toes.
	vay, very	3446155  short word for \"very\"
	gieb, give	2231447  gieb is a common typo for giev, which is, in turn, a typo for give (however, often written on purpose). gieb instead of giev is also used to make it sound german.
	analzing, the	11123060  When you try to type out the word \"analyzing\", but end up making an ass of yourself.
	voot, vootar	2873326  diminutive of the verb vootar - to depart, to split, to leave; as a silent or clandestine way of communicating the desire to leave/\"split\"/depart a place signified by extending the second and third fingers of one hand and curling the first and fourth finger under the thumb with one's palm facing inward, so as to spell out \"V O O T\" with the fingers - if you look, first at the 2 extended fingers (V) the two curled under fingers from the side (O & O) and the index finger touching the thumb (T)
	'coon, raccoon	4927927  Short word for Raccoon.
	loose, lose	263112  Increasingly common misspelling of the verb \"lose.\" The pronunciation listed here (L-ooooo-se) does not apply to this definition. The correct pronunciation of \"loose\" rhymes with \"goose\" and \"noose.\" The word many people think they are spelling, \"lose,\" rhymes with \"booze\" and \"news.\"
	slank, slink	2035149  V. To deal or sell, most commonly, but not limited to drugs (Most likely a derivative of the verb \"slink\")
	qwertfuck, all	8340760  When you are bored out of your mind and start to type out all the letters on your keyboard, then realize that you are too fat and lazy to do so.
	baef, or	2404827  Pronunciation: 'bayef' or 'baayyffee'; a lazy, fat, and 'retarded' way of pronouncing or 'letting \"beef\" leak out of your mouth'. 1. One who is of unusually large; a) Size b) Idiotic tendencies c) Smelly decsent d) Fat & retarded proportions e) All of the above 2. A whimsical way of insulting your friends, usually with no intended verbal harm.--Usually.
	tryping, fluent	10556923  (verb):1.) When you are trying to type fluent and flowing sentences but you are talking to morons or doing any activities with a moron(s) so they block your ability to type. Thus you must try harder to type.2.) thinking you have the ability to type fast but you really don't and you spell everything wrong
	sold, you	12808811  the past tense of the verb you call someone when they sell out, meaning they messed something up for a great amount of people
	toop, top	7004165  A word first derived after a mistake when trying to type 'top'. It since has become a term fo refer to someone who is of great importance to a person. Other terms are shuna, mona and beboo.
	skimbo, skimboard	5288873  n. Short word for \"Skimboard\"
	pinel, pine	11767460  A pine needle, short word for pine needle
	twanged, to	1960732  the past tense of the verb to twangmeaning to give it someone sexually
	randy, horney	3569679  adjective: 1. Sexually aroused, turned on, or excited 2. strong desire for sex 3. stronger than the word horney
	pinee, pining	11329703  \"Pinee\" is derivation of the verb \"pining\" as in to pine for someone's affection.A \"pinee\" is someone who is the object of someone's desperate crush. A \"pinee\" does not like that person (the piner) back. The relationship is impossible.
	ungry, the	2692899  When you are so hungry, and you type so fast that you forget the \"h\". A typo of the word \"Hungry\"
	choonger, choong	3109971  being even more choong than the word choong like mean meaner meanest, best better bestest etc...
	thoams, thomas	945597  What I get for trying to type Thomas too fast
	transilent, transient	2203345  Noun: 1. One who is completely random and out of place. 2. One who will say the most inappropriate things that have nothing to do with the current topic of discussion. 3. A common typo of transient since L is close to the I on the keyboard. Verb: 1. To act out of place and enjoy it in any way, shape, or form. 2. To have the weirdest and most random epiphany about yourself.
	smotify, infinitive	5380888  Not to be mistaken as a future-tense optional form of the verb infinitive \"to smite\", to smotify means to destroy utterly with divine force. It originally comes from a misread bit of linux code: sm_notify_0.
	thereforce, therefore	5654834  A term first used by GM TWL originally a typo for therefore but has now become a meme, it represents the generation of kids that will become gamers. They contain so much force in their path that there can only be one generation.
