	peabo, the	754076  Another word for the male penis.
	uagh, dayummm	2478082  another way to say the word dayummm`
	paddie, dred	303745  another word for dred or bredrin
	gonite, goodnight	11143747  another word for goodnight, properly used when you're a bit too tired to type out the full word cause you're lazy and need to get off your ass more
	minecrap, the	7302912  Another word for the drug known as \"minecraft\" which is known to remove one's life and social skills while also causing personality quirks and shyness.
	hitchhiker, a	2483689  another word for a tampon
	cybelle, means	11598742  A beautiful and gifted individual. The origin of the word means \"how pretty\" and often live up to their name. A Cybelle may get flustered in some tight situations but is always smart enough to get out of them. They may be a handful it's worth it.
	frindle, a	"2563416  Another word for a pen.
4706945   another word for a pen"
	'shole, includes	1898145  Slang shortened term for an asshole. Rhymes with \"coal\", but with an \"sh\" on the beginning... the proper spelling of the word includes the apostrophe. It is used as an improper noun.
	boe, saying	3975159  \"boe\"(verb) \"boed\"(past tense) \"boeing\" (continous) Another word for saying \"having sex\". Translated from a traditional language, it meant \"eating\" but later it was evolved to be used by youngsters who were too shy to use the word \"sex\".
	lopl, someone	5413313  its like laughing out loud ,but laughing out pretty loud , its a way of saying someone is really loud
	stupundous, stupendous	5503883  1. a word describing something extremely \"punny\"2. a misspelled version of the word stupendous
	achem, okay	5516873  fob way to say OKAY
	maizin, amazing	8687336  Lazy way of saying Amazing
	fuzzled, getting	5257554  Another word for getting drunk,high,or stoned.
	pelican, an	3900863  another word for an alcoholic derived through the fact that pelicans can take large amounts of liquids into their mouths ex. a person taking a large amount of liquor into their mouth and swallowing it without vomiting or spitting it out
	mushmellon, cantelopes	2062291  Another word for Cantelopes used mostly by rednecks and hillbillies.
	fleek, flick	7880353  The way Hispanic people say the word \"flick\".
	frolf, disc	9500894  A gay way of saying disc golf.
	op, cops	10510130  A ghetto way of saying cops. Ya know how \"Gangsters\" say it.
