	maritujuana, marijuana	280390  Mr. Mackey's way of saying marijuana.
	floopty, a	4824466  basically another word for a really fat person. when you walk by and see them you say flooooptyyy and they have no idea what you are talking about.
	cool, i	6994996  A way of saying I'm bored of this conversation.
	titf, dog	10496721  To take something too far like an old joke or may be used a a school, in class or even a work place, another word for dog or mean
	leehad, cum	646579  Another word for cum.
	misoka, a	12497983  Another word for a bitchy female instead of using \"bitch\" or \"female dog\" Every Misoka should die.
	skittled, scuttle	1666744  A cooler way to say scuttle along
	pofection, perfection	2844727  Another word for perfection that can only be used if one's name is Po.
	specfuckintacular, spectacular	1153447  A sarcastic way to say spectacular
	xwned, pwned	873998  A mis-spelling of the word 'pwned' which is a mis-spelling of the word 'owned'. Originally said by Noodles on a forum.
	snazzyfizzle, bubbles	891871  Special way of saying bubbles... A Very special way.
	berserk, getting	2197631  another word for getting hyphy and going dumb, comes from the bay area.
	fosed, supposed	1199817  the ghetto way to say supposed
	brilltastic, brilliant	3392729  A combination of the word 'Brilliant' and the word 'Fantastic'.
	rouge, police	3183181  Instead of saying the old version of 5-0 or police just another word for police.
